ID,Name,Age,Department,Salary,City
1,Helen,47,Marketing,71631,Kampala
2,Charlie,51,IT,86050,Kampala
3,Fatima,47,Operations,89827,Kampala
4,Fatima,36,IT,72871,Arusha
5,Ian,52,Finance,83569,Kampala
6,Alice,30,Marketing,70833,Nairobi
7,George,38,HR,58860,Lusaka
8,Jane,31,Operations,60921,Arusha
9,George,,Finance,89566,Nairobi
10,Charlie,52,Finance,62632,Arusha
11,Charlie,31,Operations,77178,Kigali
12,Helen,29,HR,45098,Arusha
13,Charlie,39,Operations,88244,Nairobi
14,Bob,44,Operations,77064,Arusha
15,Fatima,43,Operations,45364,Arusha
16,Alice,30,IT,64696,Arusha
17,Helen,,Marketing,62319,Lusaka
18,Ian,34,Finance,85319,Lusaka
19,Alice,31,Operations,72722,Kampala
20,Diana,50,Operations,49651,Kampala
21,George,24,HR,44897,Kigali
22,Bob,42,Marketing,49857,Arusha
23,George,34,Finance,66517,Nairobi
24,Diana,29,Operations,50425,Nairobi
25,Fatima,45,Operations,46332,Kampala
26,Fatima,31,HR,41847,Kigali
27,Fatima,43,Finance,85683,Kigali
28,Ian,50,HR,87007,Kigali
29,Charlie,39,HR,49130,Lusaka
30,Alice,36,Operations,56982,Kigali
31,Jane,26,Operations,41451,Kampala
32,Diana,23,Operations,81395,Nairobi
33,Diana,36,HR,87153,Kampala
34,Fatima,23,HR,65456,Lusaka
35,Diana,41,HR,61007,Kigali
36,Jane,39,HR,40451,Kampala
37,George,37,Operations,70131,Kampala
38,Fatima,36,Operations,63088,Lusaka
39,Fatima,40,IT,56596,Arusha
40,Helen,25,Marketing,74831,Kampala
41,Alice,46,HR,87808,Nairobi
42,Diana,52,HR,86572,Kigali
43,Bob,22,IT,72869,Kigali
44,Ian,33,Operations,51768,Nairobi
45,Ian,36,HR,64012,Nairobi
46,Charlie,48,IT,73500,Kampala
47,Jane,50,Finance,77914,Kigali
48,Fatima,37,IT,62476,Kigali
49,Diana,35,HR,76817,Lusaka
50,Fatima,37,IT,61143,Nairobi
51,Ian,44,IT,74939,Lusaka
52,Eric,22,IT,80829,Nairobi
53,Alice,34,Marketing,76425,Nairobi
54,Fatima,52,Marketing,42251,Kampala
55,Diana,22,IT,44591,Arusha
56,George,32,Marketing,87593,Kampala
57,Bob,45,HR,72776,Nairobi
58,Eric,51,HR,79491,Kampala
59,Jane,31,HR,41658,Kigali
60,Fatima,28,Operations,63941,Arusha
61,Jane,50,Marketing,85880,Lusaka
62,Helen,35,IT,65130,Kigali
63,Alice,39,HR,55181,Arusha
64,Diana,42,HR,69561,Kigali
65,Fatima,40,Operations,54714,Kampala
66,George,54,Operations,63471,Nairobi
67,Alice,46,Marketing,76852,Kampala
68,Eric,55,Finance,54622,Nairobi
69,Bob,51,Marketing,48946,Lusaka
70,Eric,42,Finance,57465,Arusha
71,Eric,25,HR,77268,Arusha
72,Fatima,32,Finance,49365,Nairobi
73,Bob,51,Marketing,86036,Kigali
74,Helen,46,IT,69781,Nairobi
75,Ian,50,Marketing,81351,Nairobi
76,Alice,29,Operations,54428,Arusha
77,Bob,38,IT,80466,Kampala
78,Eric,26,HR,71485,Lusaka
79,Eric,43,Operations,62322,
80,Jane,38,IT,88552,
81,Jane,39,Operations,60667,Kampala
82,Charlie,51,IT,57459,Nairobi
83,Charlie,53,Operations,57285,Arusha
84,Diana,49,,85582,Kampala
85,Charlie,34,Finance,50457,Nairobi
86,Bob,48,HR,69744,Kampala
87,Fatima,47,Marketing,86433,Kigali
88,Bob,33,Operations,79834,Kampala
89,Fatima,28,Marketing,48182,Lusaka
90,George,50,Marketing,78210,Arusha
91,Fatima,32,IT,72111,Kigali
92,George,24,HR,85566,Lusaka
93,Charlie,31,IT,82236,Kigali
94,Diana,28,Marketing,79406,Kampala
95,Jane,45,HR,74319,Nairobi
96,Ian,46,Operations,65714,Arusha
97,Diana,37,Marketing,81050,Arusha
98,,48,Marketing,43828,Kigali
99,Fatima,47,Marketing,76104,Nairobi
100,Helen,54,IT,61349,Kigali
101,George,37,IT,41455,Kigali
102,Helen,32,IT,51923,Kampala
103,George,48,Operations,57497,Kampala
104,Ian,48,HR,68192,Kampala
105,Alice,41,HR,86000,Kampala
106,Bob,30,Marketing,75886,Nairobi
107,Charlie,23,Operations,63971,Lusaka
108,Ian,50,HR,82014,Lusaka
109,Charlie,35,IT,70411,Nairobi
110,Eric,26,HR,68833,Nairobi
111,Helen,22,IT,68356,Nairobi
112,Charlie,33,Finance,56138,Nairobi
113,Bob,55,IT,62140,Nairobi
114,,55,HR,56460,Kampala
115,George,43,HR,88383,Kigali
116,Eric,51,Finance,44349,
117,Eric,38,Finance,74402,Kampala
118,Diana,54,Finance,44606,Arusha
119,Helen,25,Operations,67811,Kigali
120,Ian,32,Marketing,83752,Lusaka
109,Charlie,35,IT,70411,Nairobi
110,Eric,26,HR,68833,Nairobi
111,Helen,22,IT,68356,Nairobi
